ID,Goal Area,Subsection,Task,Priority,Owner,Status,Notes,Original Sheet Status,Coordinator Status,Proof Level,Proof Notes,Remaining Blocker,Last Reviewed
1,3. Capacity & Availability,Capacity Rules,Show waitlist option when class is full,Must Build First,,Not Started,,Not Started,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
2,3. Capacity & Availability,Seat Reservation,Pending requests temporarily reserve capacity,Must Build First,,Not Started,,Not Started,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
3,4. Core Academic Scheduling,Core Assignment,Assign core classes by student,Must Build First,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
4,4. Core Academic Scheduling,Core Assignment,Adjust placement manually,Must Build First,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
5,5. Enrichment Discovery,Parent Browsing,Parent can view available enrichment classes,Must Build First,,Not Started,Let's ensure the parent can only see the enrichment that the child meets criteria for,Not Started,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
6,6. Enrichment Requests,Parent Request Flow,Edit request while pending (if enabled),Must Build First,,Not Started,,Not Started,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
7,6. Enrichment Requests,Parent Request Flow,Prevent conflicting selections,Must Build First,,Not Started,,Not Started,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
8,6. Enrichment Requests,Parent Request Flow,Prevent duplicate selections,Must Build First,,Not Started,,Not Started,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
9,8. Schedule Oversight,Schedule State,Schedule can be marked as draft,Must Build First,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Schedule state/finalization coded; browser UAT still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
10,8. Schedule Oversight,Schedule State,Schedule can be marked as pending,Must Build First,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Schedule state/finalization coded; browser UAT still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
11,8. Schedule Oversight,Schedule State,Schedule can be marked as finalized,Must Build First,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Schedule state/finalization coded; browser UAT still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
12,8. Schedule Oversight,Schedule State,Finalized schedule requires admin approval,Must Build First,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Schedule state/finalization coded; browser UAT still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
13,8. Schedule Oversight,Schedule State,Finalized schedule is visible to parents,Must Build First,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Schedule state/finalization coded; browser UAT still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
14,9. Conflict Prevention,System Conflict Rules,Parent cannot request two conflicting classes,Must Build First,,Not Started,,Not Started,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
15,9. Conflict Prevention,System Conflict Rules,Parent cannot request a class outside student age eligibility,Must Build First,,Not Started,,Not Started,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
16,9. Conflict Prevention,System Conflict Rules,Parent cannot request inactive classes,Must Build First,,Not Started,,Not Started,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
17,9. Conflict Prevention,System Conflict Rules,System alerts admin of incomplete schedules,Must Build First,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Admin schedule alerts derive from diagnostics; browser UAT still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
18,9. Conflict Prevention,System Conflict Rules,System alerts admin of scheduling conflicts,Must Build First,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Admin schedule alerts derive from diagnostics; browser UAT still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
19,9. Conflict Prevention,System Conflict Rules,System blocks over-capacity approvals,Must Build First,,Not Started,,Not Started,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
20,14. Data & Audit,Records,Store all schedule changes,Must Build First,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Immutable schedule-change history and actor/timestamp audit coded; production/browser proof still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
21,14. Data & Audit,Records,Store who made each change,Must Build First,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Immutable schedule-change history and actor/timestamp audit coded; production/browser proof still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
22,14. Data & Audit,Records,Store timestamp of each change,Must Build First,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Immutable schedule-change history and actor/timestamp audit coded; production/browser proof still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
23,14. Data & Audit,Records,Store approval / rejection history,Must Build First,,Not Started,,Not Started,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
24,14. Data & Audit,Records,Store archived class history,Must Build First,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Historical class/schedule snapshots coded; production/browser proof still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
25,14. Data & Audit,Records,Store historical student schedules,Must Build First,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Historical class/schedule snapshots coded; production/browser proof still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
26,14. Data & Audit,Security,Protect student records,Must Build First,,Not Started,,Not Started,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
27,14. Data & Audit,Security,Restrict parent access by student relationship,Must Build First,,Not Started,,Not Started,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
28,14. Data & Audit,Security,Maintain admin audit trail,Must Build First,,Not Started,,Not Started,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
29,14. Data & Audit,Security,Ensure data is exportable,Must Build First,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Audit export API coded; broader export acceptance still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
30,14. Data & Audit,Security,Ensure parent-facing data is read-only where required,Must Build First,,Not Started,,Not Started,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
31,1. User Roles & Permissions,Admin / Microschool Leader,Admin can view student portfolios,Future,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
32,1. User Roles & Permissions,Parent / Guardian,Parent can view and print student portfolio,Future,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
33,2. Class Management,Class Editing,Edit prerequisite / course series information,Future,,Not Started,For enreichment only for what classes a parent can see for their child. So they don’t see everything,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
34,2. Class Management,Class Status,Archive / delete class,Future,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
35,2. Class Management,Class Status,Inactive classes do not appear to parents,Future,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
36,2. Class Management,Class Status,Archived classes remain in historical records,Future,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
37,3. Capacity & Availability,Seat Reservation,Expired requests release capacity,Future,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
38,4. Core Academic Scheduling,Core Assignment,View assessment notes,Future,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
